,email_body,sentiment,formality
118,"Suzanne, you'll find the document attached to an email I received from Fred on July 11, entitled Kendall New Development LLC.",neutral,informal
119,Thank you so much for the presentation yesterday concerning accounting/financing issues in power development projects.,positive,formal
120,"Thanks Marilou, but Ken Lay cannot attend.",neutral,informal
121,Thanks for dinner.,positive,informal
122,That way we can discuss it with Heather and make good use of our time.,positive,informal
123,The gas group would like to roll out some new products and new locations for existing products in the next few weeks.,positive,informal
124,"The kit will be mailed during the first week of December that will include: conference call information, hotel & travel details, instructions for submitting final papers, complementary registration information, etc).",neutral,formal
125,The meeting shouldn't last more than 45 minutes.,neutral,informal
126,"Therefore, i have not removed that line from the address, At such time as the Purchase Order Number is available, please send a revised address notice to the company containing such number.",neutral,formal
127,These are FYI at this time; further discussions to follow.,neutral,informal
128,They will come through as an amendment on tonight's list.,neutral,informal
129,"Tuesday, January 15, 2001 10:00 a.m.",neutral,formal
130,Unfortunately Debbie and I will not be able to attend due to previous committments.,negative,formal
131,"Unfortunately, Ken Lay will not be able to attend the meeting of the Asia Society Annual Board Meeting in October 2000.",negative,formal
132,Vacation week of July 31- August 4. Jury Duty on August 14.,neutral,informal
133,We are going to call him at 9:00 a.m tomorrow.,neutral,informal
134,"We are in bid week right now, so I have to work late and can not take vacation, so I am catching a 10 p.m. flight out tomorrow and get to auburn about 2 a.m.",neutral,informal
135,We discuss the major factors underlying the exceptionally high volatility of electricity prices.,neutral,formal
136,We had a great time and got a chance to meet Tom.,positive,informal
137,We had to cancel Lucinda's baby shower the night before it because the baby was early.,negative,informal
138,"We have had to lock into the rooms last week, so I do not know if we will be able to help her get a room unless they still have some available when she makes a decision.",negative,informal
139,"We won't get the letter for about a week to 2 weeks, but I wanted to let you know.",neutral,informal
140,Weddings almost every weekend for months.,neutral,informal
141,Wednesday at Rainbow lodge.,neutral,informal
142,Westinghouse warranty issues.,negative,informal
143,"With respect to the Commissoners, I think it makes sense to go back through Ellen and ask if she could set up meetings with a few commissioners ater the staff briefing.",neutral,informal
144,Yes - Steve is in Japan until Thursday.,neutral,informal
145,"Yes, I did know about the conference.",neutral,formal
146,"Yes, Phillippe left to join a firm in New York -- I don't know who.",neutral,informal
147,You get a gold star for the week!,positive,informal
148,"A couple of the entities have shown definitive interest in hiring the group, but our employment at Enron and employment contracts have created significant issues.",negative,formal
149,A meeting is a good idea.,positive,formal
150,"A note on the front door, ""the Body Shop would be shutting down at 7:30 p.m. Thursday evening"".",neutral,informal
151,A substantial advertising discount is being made available to the corporation that sponsors this documentary.,neutral,formal
152,ALT bought 150 mw's on a preschedule for Tuesday.,neutral,informal
153,"After all the above, I just have to say...we really do appreciate your help resolving all these issues...",positive,informal
154,"After such 10 day period, the parties shall be obligated to resume performance as if the event of force majeure had been remedied, and if such party does not resume performance, such nonperformance shall be deemed a Triggering Event allowing the other party to terminate pursuant to Section 17.1.""",neutral,formal
155,"After the session, I had a discussion with you.",neutral,formal
156,"After you set your curves(do not hit finished file), go to the GD Pmgr tab and change the date in the left hand corner to two business days out(Friday set for Tuesday).",neutral,informal
157,All of the others are charging 3% fees fo r matching buyers and sellers in a bulletin board or auction type of transactions.,neutral,informal
158,Almost two weeks ago he said he wanted a contract that allowed him to call for a letter of credit if one were needed in the future and that would suffice.,neutral,informal
159,"Also John ( Woody) Wodraska, managing director of Azurix is interested in attending.",positive,informal
160,"Also the hiring of Lars Elmlund as a weather originator, without any discussion, also illustrates the lack of 20 communication or desire to work together.",negative,informal
161,"Also, Thursday is my mom's birthday, so I need to remember to shop for her at lunch tomorrow.",positive,informal
162,"Also, a bit of background: Greenspan is always invited to the reception the night before, but they don't want to offer him a speaking spot because he won't speak without the press present.",neutral,informal
163,"Also, as I mentioned, I am very impressed with your background and accomplishments, but I would like to have you meet a couple of other people in my group before making a final offer.",positive,formal
164,"Also, this Board meeting will be my last as Chairman.",neutral,formal
165,"Also, we had a discussion yesterday with GE on the form of the assignment/assumption agreement, so there shouldn't be anything required of you from that standpoint.",neutral,informal
166,"An example of work that we think has great relevance is a by-invitation only meeting of about 30 experts in Executive Education--as practiced by corporations, by universitites and professional service firms--that we are convening near Washington D.C in November.",positive,formal
167,Any update from your last email a couple of weeks ago?,neutral,informal
168,Anytime Saturday is fine...,positive,informal
169,"As I mentioned, there were in your talk several issues in which I am interested in.",positive,formal
170,"As we discussed during our dinner, I think the two biggest sources of benefits from re-structuring will come from getting the demand-side involved in the market and from more efficient risk management.",positive,formal
171,As we discussed here are the bulletts that summarize what we heard from our consultants.,neutral,informal
172,"As we discussed, Cadwalader will issue an enforceability opinion with respect to the Enron Corp. guaranty, so we need to provide them with an opinion with respect to Enron Corp. general corporate matters.",neutral,formal
173,"As we discussed, I think Koenig is damaged goods on the Street right now.",negative,informal
174,"As we discussed, JPMorgan would like to hear your views on the above issues.",neutral,formal
175,"As we discussed, the major concerns that I have concerning the Energy Marketing Services Agreement form that Kaiser provided relates to the duties of the Marketer thereunder.",neutral,formal
176,"As you know, the DHD, on whose board I sit, does great things for the old part of downtown and many of the facades are a product of the DHD's grants.",positive,informal
177,At the end of the main conference agenda is an outline of the three seminars.,neutral,formal
178,"Based on the same platform as the Lexus RX 300, which itself is based on modified Toyota Camry mechanicals, Highlander is longer, taller and wider where the wheels meet the pavement than the Lexus.",neutral,formal
179,Ben and I discussed the fact that the Coral turbines will be moved into TurboPark.,neutral,informal
180,Bob Bruce has set up a meeting with Ken Raceler to go over the changes that went into effect 12/21 of last year.,neutral,formal
181,Bob Shults called this meeting to see what the status was for the different product groups' confirmation and GTC forms.,neutral,informal
182,"But hurry, these great airfares and room rates are available for purchase for 8 days only.",positive,informal
183,By afternoon time TLR's prevented any power from going into Florida.,negative,informal
184,"By way of this e-mail, I'll check with Joe's office to see what time it's scheduled.",neutral,informal
185,CPL was the only reasonable offer at $60. TLR's prevented any new schedules from being started until he 23.,neutral,informal
186,"Carolyn Green, Vice President - Government Affairs, has advised us of her 20 resignation from Enron Corp. effective Friday =01) August 4, 2000.",neutral,formal
187,Closer to the event we will be sending you some of the issues that we plan to raise for discussion.,neutral,formal
188,"Current field trials in operation or scheduled for 2001 include 250 kW DFC power plants at the University of Bielefeld and the Rhone Klinikum Hospital in Germany, at the headquarters of the Los Angeles Department of 20 Water and Power, a 250 kW system in Japan for Marubeni and a 250 kW unit slated for the spring of 2001 at Mercedes-Benz U.S. International in Tuscaloosa, Alabama.",neutral,formal
189,Dave Delainey is on board regarding Grant.,neutral,informal
190,Dave predicted it would be tomorrow am.,neutral,informal
191,"Did anything get set up? I'm booked at 200, but otherwise available.",neutral,informal
192,Dina's returns are leaving our offices today by courier so you should have them tomorrow.,neutral,informal
193,Each Unit shall meet Performance Standards as 20 described in this Article and as set forth in the following table below in 20 order to achieve Acceptance: 092MW Power Plants=092.4MW,neutral,formal
194,"Each year for the past 5 years, there has been one big event that has seemingly changed the w ay we do or think about things.",neutral,informal
195,"Early next week is better than later, and Thursday and Friday are huge problem days for me.",positive,informal
196,Either today or tomorrow you will receive an email stating there is a new Kudlow Commentary posted.,neutral,informal
197,Enron has funded more charity events and backed more functions and elections than most.,positive,informal
198,"Enron owns two GE 7EA turbines, which may be sold in a structure similiar to the CA Development structure.",neutral,formal
199,"Enron/Azurix City Officials DETAILS OF TONIGHT'S RECEPTION: Monday, July 31st from 6-7 pm in the 50th floor lobby area.",neutral,formal
200,Everyone that makes a contribution by COB Friday will be eligible for the Governmental Affairs raffle for BIG PRIZES!!,positive,informal
201,"FERC's proposals Wednesday are the result of a two-month investigation of California's wholesale electricity market, where prices this summer were three times what they were a year earlier.",neutral,formal
202,FPL and FPC will on the bid for hourly power on Monday.,neutral,informal
203,"FYI, I expect to be on vacation that week.",neutral,informal
204,"FYI, I will be in all this week (Monday, Tuesday, and Wednesday).",neutral,informal
205,"FYI, I will be in town this weekend(Haleyville).",neutral,informal
206,Family members are invited and we order a BBQ lunch following the game.,positive,informal
207,"First of all, Hanukkah was three weeks ago.",neutral,informal
208,"First, after our discussions yesterday, we couldn't figure out a way they could change the approval status within Credit from approved with a master to a ""B"" approved GTC with credit.",neutral,informal
209,"Follow up to previous message: I would not have ""managing for the slow down"" on the agenda.",neutral,informal
210,"For some reason, the Delaware bankruptcy docket is one of the few federal dockets that are not available on the PACER system.",negative,formal
211,"For the purpose of disclosure pursuant to the Interest Act (Canada), the yearly rate of interest to which any rate of interest payable under this Agreement that is calculated on any basis other than a full calendar year is equivalent may be determined by multiplying such rate by a fraction the numerator of which is the actual number of days in the calendar year in which such yearly rate of interest is to be ascertained and the denominator of which is the number of days comprising such other basis.",neutral,formal
212,Friday would be beter.,positive,informal
213,Gary and George are tomorrow morning.,neutral,informal
214,"Given that almost everybody will be out that week, we probably should move the interview to the beginning of January, even if it means higher costs.",neutral,formal
215,Golf is scheduled for 2pm Saturday.,neutral,informal
216,He has never attended one.,neutral,formal
217,He recently spoke at one of your conferences and this conference is more closely related to Mr. Wasaff's area of responsibility.,neutral,formal
218,"He said CT will not revoke the consent for about 5-6 more weeks, so we've got some time to resolve this.",neutral,informal
219,"He still hasn't got the liquids ones written, he says we'll have those by Monday.",neutral,informal
220,He will be incapable of discussing anything other than how he feels.,negative,formal
221,Heather Kroll will be meeting with us.,neutral,formal
222,"Help, Time Warner is my cable service provider, however, when I attempted to open the ordering information, I am told that a discount for TimeWarner cable modern service is not available in my area.",negative,informal
223,"Here are this week's E-Savers for travel departing Saturday, January 5 and returning Sunday, January 6; Monday, January 7; or Tuesday, January 8.",neutral,formal
224,Here is the list of the hour ahead scheduled flows:,neutral,formal
225,Here's a draft of an MOU for the sale of the LMs and ABB equipment to ESA.,neutral,formal
226,Here's the thing I'm doing on Thursday.,neutral,informal
227,"Herman says he has a lot of accounting issues to go over, and I thought it would be best if we all heard the same thing at the same time, plus, how the heck is this puppy going to get financed?",negative,informal
228,"Hey, I am meeting them in Atlanta and the Jocks adn Jills sports bar in CNN Center before the game.",neutral,informal
229,Hope you had fun on your three dates this weekend!!! (you slut!),positive,informal
230,Hopefully we will not be heading to alabama for the weekend.,neutral,informal
231,"How about Friday @ 10am? Sorry, but we have a situation I must get involved with and change a direction.",neutral,informal
232,How is the week going?,neutral,informal
233,"However, there are lunch possibilities...",neutral,informal
234,Hub Agency Agreement - Gregg recently met with Peoples to discuss some of the outstanding commercial issues relating to the Hub Agency Agreement.,neutral,formal
235,"Humberto (can't remember how to spell his last name) from Global Finance/ENA may be available, and he has participated in similar discussions on two other projects.",neutral,informal
236,I 20 asked them to go through and discuss their eBusiness plan and it was quite 20 thorough.,neutral,informal
237,I already have lunch with Steve.,neutral,informal
238,"I also have a 1015 meeting with Lisa Bills, her office.",neutral,informal
239,I also want to make sure that Development and Legal are on the same page.,neutral,informal
240,I am STILL on my 100 conference call.,neutral,informal
241,I am a dedicated Buddhist so I am not able to join the Elite and act on this.,negative,formal
242,I am also working on the human resource issues you mentioned.,neutral,formal
243,I am available for practice.,neutral,formal
244,I am available.,positive,formal
245,"I am currently creating a list of all the agreements I have or have heard of, so I hope to have something when you arrive tomorrow to review.",neutral,formal
246,"I am forwarding a copy of the spreadsheet to my home address so I can work on it tonight, if necessary.",neutral,formal
247,I am going back to Europe on Sunday and shall be gone for a week.,neutral,formal
248,I am going to discuss it at the staff meeting.,neutral,formal
249,"I am going to meet with Tom at 3:30 (after our ice cream social at 3:00) to go over my latest list of questions to the 2nd credit list, so how's about discussing any other financial issues we might have then...",neutral,informal
250,I am going to run w/holly at 7:00 on saturday and then meet her for breakfast at 8 at the IHOP.,neutral,informal
251,"I am going to spend one week in Australia and I have just realized that I have to leave on Friday, July the 14th, at night, to arrive in Sydney on Sunday morning.",neutral,informal
252,I am hoping that customer will make a decision by Thursday.,positive,formal
253,"I am hoping to have all responses in by tomorrow morning and then, make a decision.",neutral,informal
254,I am meeting monthly with each person in my group to go over their training plans and get feedback on things they would like assistance with.,neutral,formal
255,I am meeting with Ben tomorrow to discuss NWestern.,neutral,informal
256,I am meeting with the exterminator tomorrow a.m.,negative,informal
257,I am not available on Thursday morning.,negative,formal
258,"I am paying Cheli to clean the house on Tuesday, Nov. 6th and her number is 713-465-3102 (cell 281-610-6891).",neutral,informal
259,I am producing the above conference and have been speaking with both Ron Bain from Anadarko Petroleum and Soussan Faiz from Texaco who recommended that I contact you.,neutral,formal
260,"I am scheduled to be in NYC and Danbury, Connecticut as of tomorrow afternoon, through the remainder of the week.",neutral,formal
261,"I am working with Dennis Vegas and Margaret Allen in the public affairs group on this event, and will keep them informed of any developments.",neutral,formal
262,I and anothe alum have already discussed it with HR.,neutral,informal
263,I approved Powercor to trade before I left last night.,neutral,informal
264,"I ate all vegetables for lunch, but then I had a third cookie.",neutral,informal
265,I attended the session on energy you chaired during that OECD Forum.,neutral,formal
266,I believe that there is only one other active coal trading system (Dynegy direct) that simply isn't 20 posting prices as a bulletin board and waiting for a response with telephon e follow-up.,neutral,informal
267,I believe that we do need 100% full time dedication from each and any employe e that is dedicated to the weather business including in the overall development and execution of our global strategy and positions.,neutral,formal
268,I believe that we do need 100% full time dedication from each and any employee that is dedicated to the weather business including in the overall development and execution of or global strategy and positions.,neutral,formal
269,I believe they cover the activities related to the development of the various site.,neutral,formal
270,I bet everyone there heard about all his physical issues.,neutral,informal
271,"I bought presents for this and the Houstonian party, which is next Wednesday.",positive,informal
272,I called Christian Yoder for a download of his conversation with the City Attorney last Friday but I have yet to hear from Christian.,negative,informal
273,I called in for the Finance meeting.,neutral,formal
274,"I can't promise that I incorporated everything we discussed, but I figured I needed to get it to you now.",neutral,informal
275,I changed our SF appointment to 900 on Friday.,neutral,informal
276,I checked with Skilling's office and there is nothing scheduled.,neutral,informal
277,"I cleared not going to Atlanta with Elizabeth, so I should be able to take Michael to Palacios as soon as Monday.",neutral,informal
278,"I did just call the Pro Shop one more time and spoke with a young lady by the name of Ashley, and she confirms that you guys are slated to tee off on Sunday at 8:15AM on the Old Course off #1.",neutral,informal
279,I do not believe the cost has been included in the payment schedule.,negative,formal
280,"I do, however, need someone to follow-up with him, even if it is a polite discussion that we don't have any interest.",neutral,formal
281,I don't 20 want to discuss them right now but we are close to releasing them and I thi nk they will raise some eyebrows.,neutral,informal
282,"I don't know where the satellite machine is located, but will follow up on Monday.",neutral,informal
283,"I don't want to clutter your E-mail box because I know you have a life and don't want to read mail all day long, so I will send you inspirational and encouraging stories and poems 2 to 3 times a week.",positive,informal
284,I expect to have it today or tomorrow morning at the latest.,neutral,formal
285,I forgot about Maureen's article being available.,neutral,informal
286,I gave Shari my whole file on Canadian cash collateral issues to look at.,neutral,informal
287,"I get in too late tonight, but maybe dinner or drinks on Thurs?",neutral,informal
288,I got back from vacation late Friday.,neutral,informal
289,"I got lots done Saturday, but I can't remember what!",neutral,informal
290,I got this from mike late last week.,neutral,informal
291,I guess you know that Tammy had her baby on Friday - 5lbs.,neutral,informal
292,I had the wrong week!,negative,informal
293,"I have a 900 conference call on another matter; otherwise, I'm open.",neutral,informal
294,I have a call with Wilson and David scheduled for Thursday am.,neutral,informal
295,"I have a meeting this afternoon from 230 until 500 or so, so I'm trying to get done before then.",neutral,informal
296,"I have a personal errand to run (nothing bad) Thursday am, so I won't be in until around lunchtime.",neutral,informal
297,I have a speaking engagement on April 6 in Florida (a conference organized by Florida Power and Light).,neutral,formal
298,I have already applied there online last week but I am afraid that it may have gone into that great HR black hole.,negative,informal
299,"I have another big project that ends this coming Wednesday, Thursday I leave for Germany for vacation for two weeks, and I hope when I get back to devote my somewhat full time to this project finally.",positive,informal
300,I have been an Enron stockholder for several years and I am very disappoin ted with the events of the last two weeks.,neutral,informal
301,I have had a difficult few weeks with some people in your group and took some of my frustration with them out on you.,negative,informal
302,I have jury duty on Wednesday.,neutral,informal
303,I have reattached an up-to-date version of the agenda.,neutral,formal
304,"I have reserved EB38C1 for the time period 8:30 - 10:30 for Tuesday February 13, 2001.",neutral,formal
305,I have reserved March the 2nd for the meeting.,neutral,formal
306,"I have sold my 1 ,800 shares of Enron Corp. because I no longer have faith in the board to be a good watchdog for the best interests of the shareholders.",negative,formal
307,I have this feeling that I will be turning off the lights tonight.,neutral,informal
308,I have tried to call him directly but he was not available.,negative,formal
309,I haven't received the invitation yet to the Sep 13th meeting.,negative,informal
310,I haven't talked to him in TWO weeks!,negative,informal
311,I heard that is what he said as soon as he got the game ball Saturday.,neutral,informal
312,I heard through the grapevine that we will be heading out to Ditka's for your birthday on Thursday?,neutral,informal
313,I hope `events' at Enron have not made things difficult for you.,neutral,informal
314,I hope his interviews go well tomorrow.,positive,informal
315,I hope you and Linda will keep this time open on your busy schedules and attend.,positive,formal
316,"I included the language she requested under (iv) as (iii) in Section 3.2 I omitted the last sentence relating to consequential damages of $1,000,000 per occurrence as we discussed and left in the language in Section 8.3 which limits the consequential damages to a maximum of $1,000,000 during the term of the Agreement.",neutral,formal
317,I just decided to go pretty easy on it for the next couple of weeks and see if it gets any better.,positive,informal
318,I just hate to pay for a real dinner for him when I know he won't be interested in grown up food.,negative,informal
319,"I just spoke to Sheila and she told me 130 Central, on Wednesdays.",neutral,informal
320,I left her a voicemail before lunch and am waiting on her reply.,neutral,informal
321,I like the plan and we will discuss my comments next week.,positive,formal
322,I look forward to meeting you on the 19th.,positive,formal
323,I look forward to working with you on this and other issues.,positive,formal
324,I may be adding someone to the agenda -- Vikram Pandit (recommended by Ken Lay and Pug Winokar),neutral,informal
325,I may be in Dallas in the next few weeks.,neutral,informal
326,"I may be on the road tomorrow (won't know until later), so something early afternoon Friday would be best for me.",neutral,informal
327,I may have unexpected meeting(s) in the morning.,neutral,informal
328,I might make some reference to discussing potential commercial resolutions to avoid the reopener.,neutral,formal
329,"I miss our chats, but this is the wrong time and place to discuss that.",negative,informal
330,I missed the presentation last Tuesday (I was sick) and would like a day or two to review the product.,negative,formal
331,I modified the third item relating to prior approval by Ormet of incremental costs to cover the situation that such transportation or supply becomes unavailable during the period Enron is obtaining Ormet's prior approval.,neutral,formal
332,I need it for our bid week meeting tomorrow afternoon.,neutral,informal
333,I need to know the nature of the discussions we will be having with this company so I know how to word the decription in the agreement.,neutral,formal
334,"I neglected to discuss it with Paige this weekend, of course.",neutral,informal
335,I only wish I could bill by the hour the time I have spent today straightening out issues raised by this El Paso thing!!!,neutral,informal
336,"I picked up the package of information today, and will read it tonight.",neutral,informal
337,I ran a redline comparing the version we sent last Thursday and their new clean draft.,neutral,informal
338,I ran out of the office on Friday after two difficult days and had Cathy collect all my stuff for my trip.,negative,informal
339,I seem to have three appointments next week:,neutral,formal
340,I sent down the list for 9/27/00 on Friday.,neutral,informal
341,I sent them a card and a $100 check to go out to dinner on us.,neutral,informal
342,I shall be at CMU on Friday.,neutral,formal
343,I shall be glad to attend the meeting (of course a lot may happen between now and then and we may have many unexpected developments in a company as dynamic as Enron).,positive,formal
344,I shall be glad to serve on the advisory board of MEC.,positive,formal
345,I shall be in NYC May the17th through 19th (flying back on Friday).,neutral,informal
